127.0.0.1 - - [18/May/2023:09:22:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/May/2023:09:22:02 +0530] "GET /MyNetBankingApplication/ HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [18/May/2023:09:22:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
192.168.43.1 - - [18/May/2023:09:35:16 +0530] "GET /MyNetBankingApplication HTTP/1.1" 302 -
192.168.43.1 - - [18/May/2023:09:35:16 +0530] "GET /MyNetBankingApplication/ HTTP/1.1" 200 3455
192.168.43.1 - - [18/May/2023:09:35:16 +0530] "GET /MyNetBankingApplication/bootstrap.min.css HTTP/1.1" 200 232691
192.168.43.1 - - [18/May/2023:09:35:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
192.168.43.1 - - [18/May/2023:09:35:16 +0530] "GET /MyNetBankingApplication/Net-Banking.png HTTP/1.1" 200 171471
192.168.43.1 - - [18/May/2023:09:35:21 +0530] "GET /MyNetBankingApplication HTTP/1.1" 302 -
192.168.43.1 - - [18/May/2023:09:35:21 +0530] "GET /MyNetBankingApplication/ HTTP/1.1" 200 3455
192.168.43.1 - - [18/May/2023:09:35:28 +0530] "GET /MyNetBankingApplication/ HTTP/1.1" 200 3455
192.168.43.1 - - [18/May/2023:09:35:36 +0530] "GET /MyNetBankingApplication HTTP/1.1" 302 -
192.168.43.1 - - [18/May/2023:09:35:36 +0530] "GET /MyNetBankingApplication/ HTTP/1.1" 200 3455
192.168.43.1 - - [18/May/2023:09:35:38 +0530] "GET /MyNetBankingApplication/ HTTP/1.1" 200 3455
192.168.43.1 - - [18/May/2023:09:35:45 +0530] "GET /MyNetBankingApplication HTTP/1.1" 302 -
192.168.43.1 - - [18/May/2023:09:35:45 +0530] "GET /MyNetBankingApplication/ HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [18/May/2023:09:40:18 +0530] "GET /MyNetBankingApplication/NewUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:40:18 +0530] "GET /MyNetBankingApplication/Register.png HTTP/1.1" 304 -
